countries,co2_cummulative,ghg_cummulative,ghg_2010,co2_2011,change_1971_2011,change_1990_2011,total_footprint,pop_2010,gdp_ppp_2010,hdi_2011,hdi_change_1990_2011,gender_inequality_2012,maternal_2010
Panama,173.5,235.76,23.36,9.4,271.0,266.3,5.4,3678128.0,44448.0,0.7759999999999999,16.52,0.503,92.0
Papua New Guinea,91.7,231.94,10.95,,,,,6858945.0,15207.0,0.462,25.54,0.617,230.0
Paraguay,94.6,769.77,40.07,4.9,761.1,156.3,6.1,6459721.0,34319.0,0.67,15.92,0.472,99.0
Peru,1137.4,1262.89,79.73,44.7,187.1,132.7,47.9,29262830.0,248772.0,0.738,19.22,0.387,67.0
Philippines,2058.7,2536.67,148.93,77.1,234.7,101.7,93.9,93444322.0,332055.0,0.6509999999999999,12.05,0.418,99.0
Poland,22664.5,8394.13,377.3,300.0,4.6,-12.3,284.5,38183683.0,663337.0,0.8190000000000001,,0.14,5.0
Portugal,1878.5,1590.5,80.03,48.1,232.8,22.4,110.5,10637346.0,231678.0,0.8170000000000001,14.43,0.114,8.0
Qatar,664.3,743.46,74.69,71.4,3105.0,399.8,,1749713.0,122899.0,0.8320000000000001,11.98,0.546,7.0
Romania,6966.2,3495.47,129.51,81.8,-28.8,-51.2,98.9,21438001.0,231365.0,0.784,11.05,0.327,27.0
Russian Federation,94678.7,50472.73,2326.1,1653.2,,-24.1,1314.8,142389000.0,2019300.0,0.784,7.4,0.312,34.0
Rwanda,20.6,80.94,4.8,,,,,10836732.0,11442.0,0.429,84.12,0.414,340.0
Saint Kitts & Nevis,3.1,5.26,0.38,,,,,52352.0,828.0,0.745,,,
Saint Lucia,7.9,20.94,1.12,,,,,177397.0,1767.0,0.7240000000000001,,,35.0
Saint Vincent & Grenadines,3.9,4.79,0.27,,,,,109316.0,1027.0,0.732,,,48.0
Samoa,4.5,7.53,0.4,,,,,186029.0,712.0,0.701,,,
Sao Tome & Principe,2.6,3.37,0.21,,,,,178228.0,275.0,0.522,,,70.0
Saudi Arabia,6892.5,6937.88,542.1,457.3,3490.6,190.3,,27258387.0,677762.0,0.78,19.45,0.682,24.0
Senegal,122.7,359.23,21.32,5.7,368.8,166.7,6.4,12950564.0,21610.0,0.471,27.99,0.54,370.0
Serbia & Montenegro,2273.0,1386.65,68.27,69.9,,13.8,,7291436.0,70016.0,0.769,,,12.0
Seychelles,9.8,11.43,1.05,,,,,89770.0,1891.0,0.804,,,
Sierra Leone,32.6,134.61,5.74,,,,,5751976.0,5732.0,0.348,40.89,0.643,890.0
Singapore,1039.5,1323.48,234.39,64.8,955.0,120.4,178.4,5076700.0,265582.0,0.894,18.25,0.101,3.0
Slovakia,3122.7,1069.03,43.77,33.9,-13.3,-40.3,44.2,5430099.0,109468.0,0.838,11.14,0.171,6.0
Slovenia,608.8,398.04,19.74,15.3,,14.4,19.9,2048583.0,51261.0,0.892,,0.08,12.0
Solomon Islands,5.4,9.24,0.55,,,,,526447.0,1308.0,0.526,,,93.0
South Africa,13133.6,9373.88,559.65,367.6,134.6,44.9,294.2,49991300.0,475740.0,0.625,0.64,0.462,300.0
Spain,11057.0,7631.34,407.97,270.3,125.5,31.7,440.6,46070971.0,1239335.0,0.885,17.06,0.103,6.0
Sri Lanka,287.6,734.76,39.09,15.0,444.4,301.2,21.5,20653000.0,95022.0,0.711,16.94,0.402,35.0
Sudan,229.0,2642.59,168.72,14.5,343.3,163.6,,35652002.0,80948.0,0.419,39.2,0.604,730.0
Suriname,88.7,91.39,3.99,,,,,524960.0,3731.0,0.6809999999999999,,0.467,130.0
Swaziland,23.7,51.74,2.76,,,,,1193148.0,5634.0,0.536,0.56,0.525,320.0
Sweden,4328.3,1427.71,73.99,44.9,-45.5,-14.9,80.2,9378126.0,320032.0,0.915,11.18,0.055,4.0
Switzerland,2496.3,1101.97,52.13,39.9,2.3,-4.2,108.0,7824909.0,305736.0,0.912,8.57,0.057,8.0
Syria,1231.6,1642.25,99.92,53.2,783.0,88.9,,21532647.0,96934.0,0.6459999999999999,15.98,0.551,70.0
