,co2_emissions,ghg_emissions,ghg_2010 emissions,co2_2011_emissions,change_1971_2011,change_1990_2011,total_footprint,pop_2010,gdp_ppp_2010,hdi_2011,hdi_change_1990_2011,gender_inequality_2012,maternal_2010
United Arab Emirates,"2,109.40",2609.38,256.41,  165.9,6676.1,219.7,,"8,441,537",307951,0.817,,0.241,12
United Kingdom,"68,763.40",14194.64,627.46,  443.0,-28.9,-19.3,704.3,"62,271,177",2043064,0.875,11.61,0.205,12
United States of America,"339,174.00",138381.18,6866.92, 5 287.2,23.2,8.6,6153.2,"309,326,225",12992000,0.936,6.61,0.256,21
Uruguay,283.9,626.60,34.67,  7.6,45.1,102.0,9.8,"3,371,982",42383,0.789,13.85,0.367,29
Uzbekistan,"6,000.50",4448.91,219.98,  110.2,,-8.0,,"28,562,400",78648,0.649,,,28
Vanuatu,3.1,10.78,0.62,,,,,"236,299",946,0.625,,,110
Venezuela,"4,751.60",4753.58,262.47,  159.2,205.8,51.5,150.0,"29,043,283",316397,0.746,17.48,0.466,92
Vietnam,"1,639.80",3165.03,256.77,  137.4,750.9,698.6,122.5,"86,932,500",249923,0.614,39.86,0.299,59
Yemen,370.4,443.51,28.95,  20.7,1639.8,222.1,,"22,763,008",57076,0.459,60.49,0.747,200
Zambia,183.9,1391.85,67.65,  2.1,-38.8,-19.3,5.5,"13,216,985",18114,0.443,11.31,0.623,440
Zimbabwe,632.7,515.02,20.36,  9.5,30.8,-40.9,11.4,"13,076,978",,0.387,-9.37,0.544,570
